iter	Passed	Remaining
647	6728	3654
648	6737	3644
649	6747	3633
650	6757	3622
651	6767	3611
652	6776	3601
653	6786	3590
654	6796	3580
655	6806	3569
656	6816	3558
657	6825	3547
658	6836	3537
659	6846	3526
660	6855	3516
661	6865	3505
662	6876	3495
663	6886	3484
664	6895	3473
665	6905	3463
666	6915	3452
667	6926	3442
668	6936	3431
669	6945	3421
670	6956	3410
671	6965	3399
672	6975	3389
673	6985	3378
674	6995	3368
675	7005	3357
676	7015	3347
677	7025	3336
678	7035	3326
679	7045	3315
680	7055	3304
681	7065	3294
682	7075	3283
683	7084	3273
684	7095	3262
685	7105	3252
686	7114	3241
687	7124	3231
688	7135	3220
689	7145	3210
690	7155	3199
691	7164	3189
692	7174	3178
693	7185	3168
694	7195	3157
695	7205	3147
696	7215	3136
697	7226	3126
698	7236	3116
699	7246	3105
700	7256	3095
701	7266	3084
702	7276	3074
703	7287	3063
704	7297	3053
705	7307	3043
706	7318	3032
707	7328	3022
708	7338	3011
709	7347	3001
710	7357	2990
711	7367	2980
712	7377	2969
713	7388	2959
714	7398	2948
715	7407	2938
716	7417	2927
717	7427	2917
718	7438	2906
719	7448	2896
720	7458	2886
721	7469	2875
722	7479	2865
723	7490	2855
724	7500	2844
725	7510	2834
726	7520	2823
727	7529	2813
728	7539	2802
729	7550	2792
730	7560	2782
731	7569	2771
732	7580	2761
733	7590	2750
734	7600	2740
735	7609	2729
736	7620	2719
737	7630	2708
738	7639	2698
739	7649	2687
740	7660	2677
741	7671	2667
742	7682	2657
743	7692	2646
744	7702	2636
745	7712	2625
746	7722	2615
747	7732	2605
748	7742	2594
749	7753	2584
750	7764	2574
751	7774	2564
752	7785	2553
753	7795	2543
754	7805	2532
755	7816	2522
756	7826	2512
757	7836	2501
758	7845	2491
759	7855	2480
760	7864	2470
761	7874	2459
762	7883	2448
763	7893	2438
764	7903	2427
765	7913	2417
766	7923	2406
767	7933	2396
768	7943	2386
769	7952	2375
770	7962	2365
771	7973	2354
772	7982	2344
773	7992	2333
774	8002	2323
775	8011	2312
776	8022	2302
777	8031	2291
778	8041	2281
779	8051	2270
780	8061	2260
781	8071	2250
782	8080	2239
783	8090	2228
784	8100	2218
785	8110	2208
786	8120	2197
787	8130	2187
788	8140	2177
789	8150	2166
790	8160	2156
791	8170	2145
792	8179	2135
793	8189	2124
794	8199	2114
795	8209	2103
796	8220	2093
797	8229	2083
798	8239	2072
799	8249	2062
800	8259	2052
801	8269	2041
802	8279	2031
803	8290	2020
804	8300	2010
805	8309	2000
806	8320	1989
807	8330	1979
808	8340	1969
809	8350	1958
810	8360	1948
